Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms),Cumulative Steps(Thousand),Cumulative Distance (Km),Distance (Km),Calories (1000kcal),Step count(1000)
2024-08-30,88,2180.902432462813,3270.350968259842,93.45454545454544,122,66,0.5223506354144583,1.2935836948467476,0.2615283118022613,7715.0,758619.0,7.715,3.2703509682598417,3.2703509682598417,2.1809024324628132,7.715
2024-08-31,142,2661.9790753926254,5800.165280148566,93.95121951219512,124,63,0.4804897938966611,1.4549292731161267,0.2615283118022613,8035.0,1652517.0,15.75,9.070516248408408,5.800165280148566,2.6619790753926256,8.035
2024-09-03,197,3493.596951694618,7727.318938047938,86.1559633,108,64,0.5340381108381849,1.4119242254153672,0.2501575156369456,11467.0,4731928.0,27.217,16.797835186456346,7.727318938047938,3.493596951694618,11.467
2024-09-04,147,3141.2326231037896,5859.941994,85.68518518518519,108,69,0.6087768180992619,1.4197298003128365,0.2523727876372189,10786.0,4401899.0,38.003,22.657777180456343,5.859941994,3.1412326231037895,10.786
2024-09-05,101,2273.1393065876127,3272.876947805928,88.30487805,110,72,0.5735022612597392,1.6802364933892793,0.2501575156369456,7442.0,2162620.0,45.445,25.93065412826228,3.272876947805928,2.2731393065876127,7.442
2024-09-06,64,2533.768835532947,4551.713982057583,83.55045871559633,109,67,0.4181336298474335,1.5940761208744698,0.2501575156369456,8239.0,2558292.0,53.684,30.48236811031986,4.551713982057583,2.533768835532947,8.239
2024-09-07,69,1943.3330957444125,3136.5788400941483,92.24050632911391,109,70,0.5017662784754512,1.807683201239996,0.2501575156369456,5480.0,799625.0,59.164,33.618946950414006,3.136578840094148,1.9433330957444126,5.48
2024-09-08,26,1048.444078401913,331.91238670962923,94.85191637630662,117,67,0.6235568712412178,1.163545774689637,0.2501575156369456,1457.75,556941.0,60.62175,33.95085933712364,0.33191238670962925,1.048444078401913,1.45775
2024-09-09,98,2342.8766092800897,4356.407906573415,96.43728222996516,121,68,0.4073437147432646,1.8008247586264614,0.2553322492211611,6895.0,2175250.0,67.51675,38.307267243697055,4.356407906573415,2.34287660928009,6.895
2024-09-10,146,2723.8251369342315,5744.091230370258,97.52093023255814,117,71,0.5456938148470425,1.5130150894258927,0.2501575156369456,8107.0,3077554.0,75.62375,44.051358474067314,5.744091230370258,2.7238251369342317,8.107
2024-09-11,161,3173.8258220303924,6664.81147,87.265625,125,71,0.6575469243263639,1.5643802583854092,0.2501575156369456,9803.0,5219672.0,85.42675,50.71616994406732,6.66481147,3.1738258220303925,9.803
2024-09-12,118,2970.8571271373057,5285.371785826082,88.35174418604652,109,66,0.4931133847227942,1.5247238961509155,0.2501575156369456,10920.0,2226205.0,96.34675,56.0015417298934,5.285371785826081,2.9708571271373057,10.92
2024-09-13,200,3927.917784573268,10130.592509237254,89.76630435,112,75,0.7314005487057791,2.329436978407809,0.2501575156369456,12380.0,5505097.0,108.72675,66.13213423913065,10.130592509237255,3.927917784573268,12.38
2024-09-14,125,2621.449888485557,5075.475170152171,93.97058823529412,125,81,0.568610032,1.7910963559859414,0.2501575156369456,8058.0,2241156.0,116.78475,71.20760940928282,5.0754751701521705,2.621449888485557,8.058
2024-09-15,10,1007.9320771134192,505.29327170124753,100.71495327102804,118,78,0.5011802256891562,1.1863207809629694,0.2615283118022613,1457.75,198375.0,118.2425,71.71290268098407,0.5052932717012475,1.0079320771134193,1.45775
2024-09-16,119,2216.895624797267,4033.173945708834,97.12369337979094,121,71,0.5234880611042104,1.533310581580006,0.2501575156369456,6187.0,1545617.0,124.4295,75.74607662669291,4.033173945708834,2.216895624797267,6.187
2024-09-17,83,2095.598127609124,4743.005133727495,94.6124031,119,68,0.6159163681066897,1.5279922696326511,0.2501575156369456,4437.0,2657333.0,128.8665,80.4890817604204,4.743005133727495,2.095598127609124,4.437
