Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
08-09-2024,26.0,1765.8974511408123,331.91238670962923,94.85191637630662,117.0,67.0,0.6235568712412178,1.163545774689637,0.2501575156369456,556.0,556941.0
09-09-2024,98.0,1791.313851219363,4356.407906573415,96.43728222996516,121.0,68.0,0.4073437147432646,1.8008247586264614,0.2553322492211611,6895.0,2175250.0
10-09-2024,146.0,1845.736482766236,5744.091230370258,97.52093023255814,117.0,71.0,0.5456938148470425,1.5130150894258927,0.2501575156369456,8107.0,3077554.0
11-09-2024,161.0,2043.661751414871,6664.81147,87.265625,125.0,71.0,0.6575469243263639,1.5643802583854092,0.2501575156369456,9803.0,5219672.0
12-09-2024,118.0,1794.1483784552229,5285.371785826082,88.35174418604652,109.0,66.0,0.4931133847227942,1.5247238961509155,0.2501575156369456,10920.0,2226205.0
13-09-2024,200.0,1992.8351929924224,10130.592509237254,89.76630435,112.0,75.0,0.7314005487057791,2.329436978407809,0.2501575156369456,12380.0,5505097.0
14-09-2024,125.0,1856.064257673282,5075.475170152171,93.97058823529412,125.0,81.0,0.568610032,1.7910963559859414,0.2501575156369456,8058.0,2241156.0
15-09-2024,10.0,1671.270624253488,505.29327170124753,100.71495327102804,118.0,78.0,0.5011802256891562,1.1863207809629694,0.2615283118022613,328.0,198375.0
16-09-2024,119.0,1797.9591434930703,4033.173945708834,97.12369337979094,121.0,71.0,0.5234880611042104,1.533310581580006,0.2501575156369456,6187.0,1545617.0
17-09-2024,83.0,1820.27289,4743.005133727495,94.6124031,119.0,68.0,0.6159163681066897,1.5279922696326511,0.2501575156369456,4437.0,2657333.0
18-09-2024,87.0,1777.707788157347,4358.421546178626,92.49350649350647,111.0,71.0,0.6684837601945193,1.7146273775171017,0.2501575156369456,5664.0,1954888.0
19-09-2024,10.0,1660.5755408741634,684.4664276866184,94.04247104247104,114.0,61.0,0.3772962698528412,2.1016840877382528,0.2956407002982085,1078.0,21876.0
20-09-2024,31.0,1781.677790722677,879.1142864,96.50614754,144.0,72.0,0.6722015442409953,1.8437429711119016,0.2842699041328927,1392.0,1073840.0
21-09-2024,70.0,1836.8367566215816,3242.250025024978,96.9527972,119.0,66.0,0.687925073,1.5184439676791444,0.2615283118022613,4486.0,1564260.0
22-09-2024,20.0,1665.4149296609628,760.4893839115741,91.23344947735193,115.0,68.0,0.4366946478270727,1.333519241852856,0.3070114964635241,1249.0,101739.0
