Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
12-08-2024,181,1454.5,4389.756115,88.93377483443709,115,66,0.3865426737526906,0.4783432435827112,0.324931329,10244,
13-08-2024,180,1454.5,4193.9305638703445,83.81677019,105,66,0.4150355930498279,0.509161054,0.3131599232814395,11040,
14-08-2024,60,1454.5,1700.9206567028787,85.79239766081871,127,67,0.4695927043542409,0.4695927043542409,0.4695927043542409,10810,
15-08-2024,61,1454.5,3015.839024153997,79.34574468085107,118,57,0.41712480288221954,0.5406957171548081,0.293553889,8100,
17-08-2024,61,1454.4999999999998,1317.4289514462516,84.85040983606558,105,62,0.35520171461710337,0.35520171461710337,0.35520171461710337,8975,
21-08-2024,61,1454.5,2932.9897523145946,87.55673758865248,117,69,0.40316344125453496,0.5241845365153455,0.28214234599372445,9886,
22-08-2024,60,1454.5,1577.902040941342,92.11409395973155,111,67,0.43496450765365685,0.43496450765365685,0.43496450765365685,4164,
23-08-2024,,1454.5000000000002,1038.126481987661,86.24537037037037,112,67,0.28968710683538124,0.28968710683538124,0.28968710683538124,8372,
24-08-2024,60,1454.5,3244.3021677111365,88.16826923076923,119,65,0.4501102797143743,0.6295791463697135,0.2706414130590351,9759,
26-08-2024,60,1454.5,2885.9163024058435,96.46153846153847,116,65,0.40011977090966816,0.5216930614358304,0.27854648038350593,14663,
27-08-2024,252,1454.5,7145.087562715812,91.48113207547169,120,71,0.46030881367855875,0.8153548699247135,0.28240422513833097,15598,
28-08-2024,60,1454.5,1279.7701915192508,85.37434554973822,109,65,0.35315900652861304,0.35315900652861304,0.35315900652861304,10661,
30-08-2024,88,1558.651337616696,3270.350968259842,93.45454545454545,122,66,0.5223506354144583,1.2935836948467476,0.2615283118022613,7715,758619
31-08-2024,142,1759.3854007416126,5800.165280148566,93.95121951219512,124,63,0.4804897938966611,1.4549292731161267,0.2615283118022613,8035,1652517
